Sensor1,!clusters!2,Sensor2,!clusters!3,Sensor3,!clusters!4,Sensor4,!clusters!5,Sensor5,!clusters!6,Sensor6,!clusters!7,Sensor7
-0.568192749448246,1,-0.59643911112522,1,-0.59643911112522,1,-0.568192749448246,2,-0.378149185510352,2,-0.693079563383057,1,-0.378149185510352
-0.417270192094088,1,-0.383002383646938,1,-0.383002383646938,1,-0.417270192094088,2,-0.227226628156193,2,-0.844002120737215,1,-0.227226628156193
-0.689579085604954,1,-0.768105314004816,1,-0.768105314004816,1,-0.689579085604954,2,-0.49953552166706,2,-0.571693227226349,1,-0.49953552166706
-0.242807463676344,1,-0.13627482698995,1,-0.13627482698995,1,-0.242807463676344,2,-0.0527638997384492,2,-1.01846484915496,1,-0.0527638997384492
-0.509837773930998,1,-0.513912713316778,1,-0.513912713316778,1,-0.509837773930998,2,-0.319794209993104,2,-0.751434538900305,1,-0.319794209993104
-0.884943630963613,1,-1.04439250365788,1,-1.04439250365788,1,-0.884943630963613,2,-0.694900067025718,2,-0.376328681867691,1,-0.694900067025718
-0.696063862309944,1,-0.777276173169975,1,-0.777276173169975,1,-0.696063862309944,2,-0.50602029837205,2,-0.565208450521359,1,-0.50602029837205
-0.499996187481618,1,-0.499994608284797,1,-0.499994608284797,1,-0.499996187481618,2,-0.309952623543723,2,-0.761276125349685,1,-0.309952623543723
-0.526625788453414,1,-0.537654551139694,1,-0.537654551139694,1,-0.526625788453414,2,-0.336582224515519,2,-0.73464652437789,1,-0.336582224515519
-0.614898423051437,1,-0.662490908174624,1,-0.662490908174624,1,-0.614898423051437,2,-0.424854859113543,2,-0.646373889779866,1,-0.424854859113543
-0.478113526882263,1,-0.469047852884382,1,-0.469047852884382,1,-0.478113526882263,2,-0.288069962944368,2,-0.78315878594904,1,-0.288069962944368
-0.773715678794193,1,-0.887092425184905,1,-0.887092425184905,1,-0.773715678794192,2,-0.583672114856298,2,-0.487556634037111,1,-0.583672114856298
-0.504202793058964,1,-0.505943646943835,1,-0.505943646943835,1,-0.504202793058964,2,-0.31415922912107,2,-0.757069519772339,1,-0.31415922912107
-0.398411055999429,1,-0.356331537607232,1,-0.356331537607232,1,-0.398411055999429,2,-0.208367492061535,2,-0.862861256831874,1,-0.208367492061535
-0.376529167833648,1,-0.325385874592853,1,-0.325385874592853,1,-0.376529167833648,2,-0.186485603895753,2,-0.884743144997655,1,-0.186485603895753
-0.102510404809552,1,0.0621351764205225,1,0.0621351764205225,1,-0.102510404809552,2,0.0875331591283423,2,-1.15876190802175,1,0.0875331591283424
-0.4487978973325,1,-0.427589291985602,1,-0.427589291985602,1,-0.4487978973325,2,-0.258754333394606,2,-0.812474415498803,1,-0.258754333394606
-0.397487149129957,1,-0.355024935982055,1,-0.355024935982055,1,-0.397487149129957,2,-0.207443585192063,2,-0.863785163701346,1,-0.207443585192063
-0.582307170926229,1,-0.616399917404434,1,-0.616399917404434,1,-0.582307170926229,2,-0.392263606988335,2,-0.678965141905074,1,-0.392263606988335
-0.275213197574217,1,-0.182103455366976,1,-0.182103455366976,1,-0.275213197574217,2,-0.0851696336363225,2,-0.986059115257086,1,-0.0851696336363226
-0.688261661367554,1,-0.766242194780886,1,-0.766242194780886,1,-0.688261661367554,2,-0.49821809742966,2,-0.573010651463749,1,-0.49821809742966
-0.546133755546587,1,-0.565242982777188,1,-0.565242982777188,1,-0.546133755546587,2,-0.356090191608692,2,-0.715138557284717,1,-0.356090191608692
-0.217249668245344,1,-0.100130646067074,1,-0.100130646067074,1,-0.217249668245345,2,-0.02720610430745,2,-1.04402264458596,1,-0.0272061043074499
-0.697126827173978,1,-0.778779432497016,1,-0.778779432497016,1,-0.697126827173977,2,-0.507083263236083,2,-0.564145485657326,1,-0.507083263236083
-0.350584057081459,1,-0.288693947089835,1,-0.288693947089835,1,-0.350584057081459,2,-0.160540493143564,2,-0.910688255749844,1,-0.160540493143564
-0.527138705577266,1,-0.53837992549262,1,-0.53837992549262,1,-0.527138705577266,2,-0.337095141639372,2,-0.734133607254037,1,-0.337095141639372
-0.489967504824759,1,-0.485811909258732,1,-0.485811909258732,1,-0.489967504824759,2,-0.299923940886865,2,-0.771304808006544,1,-0.299923940886865
-0.557218644976897,1,-0.580919383746939,1,-0.580919383746939,1,-0.557218644976897,2,-0.367175081039003,2,-0.704053667854406,1,-0.367175081039003
