"D1","!clusters!1!12","!clusters!2!12","D2","!clusters!1!23","!clusters!2!23","!clusters!3!23","!clusters!noise!23","D3","!clusters!1!34","!clusters!2!34","D4"
0.642739611786667,1,,0.854334177469199,1,,,,0.731417626372864,1,,0.554348743775009
0.158825457150978,1,,0.698864714631121,1,,,,0.636683574953328,1,,0.477615267378687
0.390782102834335,1,,0.677185909977556,1,,,,0.629738093947903,1,,0.41819930408838
0.45821565124026,1,,0.799989843703834,1,,,,0.622080795185232,1,,0.444081953575163
0.40106708078525,1,,0.847225414137277,1,,,,0.699646979450764,1,,0.61634016502088
0.273468870977129,1,,0.695780490153297,1,,,,0.536414690867487,1,,0.301621887267635
0.677880499359735,1,,0.804676045522158,1,,,,0.704024911821853,1,,0.480463591512388
0.276335240396726,1,,0.900181991131209,1,,,,0.559841806821376,1,,0.353143193177078
0.626217413555871,1,,0.786226833667238,1,,,,0.712410311669959,1,,0.529164584155959
0.230302808295657,1,,0.508389567018609,1,,,,0.637551659791785,1,,0.405130628346579
0.266669665901585,1,,0.511771239169494,1,,,,0.769308327850904,1,,0.672494957423073
0.458987599517519,1,,0.831067668913591,1,,,,0.559944571976428,1,,0.348626455356395
0.228936769645982,1,,0.611143675524939,1,,,,0.615310690204027,1,,0.417673830517399
0.223340351480381,1,,0.826802027507942,1,,,,0.665069280835047,1,,0.481123154646022
0.257020661060095,1,,0.985801302637908,1,,,,0.670305170777031,1,,0.539934408277243
0.60366867479315,1,,0.892466585771344,1,,,,0.550297547196624,1,,0.349839746257328
0.19238271709845,1,,0.763518169022632,1,,,,0.64393757417126,1,,0.449447282399435
0.235682654307768,1,,0.446767533147,0.676634584507116,,,,0.541629016021221,1,,0.318885114151846
0.415024338707818,1,,0.716111110098302,1,,,,0.688016442221279,1,,0.601287420352704
0.14000128100997,1,,0.748093472839464,1,,,,0.614187170192625,1,,0.405089590481996
0.476209334307205,1,,0.61205852474194,1,,,,0.675486333449603,1,,0.514755434059628
0.558775880492481,1,,0.786647734670598,1,,,,0.727649149376941,1,,0.559875213567645
0.147768406148197,1,,0.791968175896131,1,,,,0.662504604924558,1,,0.390115299484299
0.426238780824493,1,,0.628628983470391,1,,,,0.706692558595825,1,,0.5871768884272
0.103885247905126,1,,0.810683315113237,1,,,,0.643376083862712,1,,0.469855292535753
0.0872731014558704,1,,0.879417782511465,1,,,,0.652502353202453,1,,0.390968923612622
0.351499650050063,1,,0.710432329058019,1,,,,0.689232377592796,1,,0.538995288211181
0.209735675362833,1,,0.541764042412422,1,,,,0.652197575386566,1,,0.451529378626585
0.489540808924879,1,,0.707524811607965,1,,,,0.627343743108547,1,,0.387321524122893
